,avg_qscore,avg_qscore_0.025,avg_qscore_0.25,avg_qscore_0.5,avg_qscore_0.75,avg_qscore_0.975,coverage_50,coverage_95,mae_q0.5
"ensemble | bench_pm_1month, grad_boost_2015_dummy",1.972436841268781,0.42419254013852914,3.0085048953516353,3.5250365892528612,2.5428739819556148,0.3615761996452641,0.35714285714285715,0.9285714285714286,3525.036589252861
"ensemble | bench_pm_1month, grad_boost_2015_fturs",2.009273322655117,0.5097914942767336,3.024972843413989,3.599354699817282,2.551175219239766,0.3610723565278148,0.33333333333333337,0.8928571428571429,3599.3546998172824
"ensemble | bench_pm_1month, grad_boost_2018_dummy",1.8677118342019026,0.4760837090135133,2.8462901966095813,3.2415984325051475,2.419159623130557,0.3554272097507152,0.4047619047619047,0.9166666666666666,3241.598432505148
"ensemble | bench_pm_1month, grad_boost_2018_fturs",1.8688449734515926,0.5080492585375173,2.7774895998714184,3.2661860726811933,2.4374771380083398,0.3550227981594948,0.38095238095238093,0.8928571428571429,3266.186072681193
"ensemble | bench_pm_1month, lightgbm_dummy_2019",1.7142237685674042,0.669971147428356,2.6287025056264364,2.9088772156394356,1.995952889544247,0.36761508459854625,0.39285714285714285,0.7857142857142857,2908.8772156394357
"ensemble | bench_pm_1month, lightgbm_dummy_2020",1.6895634342326968,0.6379916877493468,2.6169916470712495,2.862077093389933,1.956037711089271,0.3747190318636853,0.3928571428571429,0.7738095238095237,2862.077093389933
"ensemble | bench_pm_1month, lightgbm_dummy_2021",1.6983532084755826,0.6451540824863773,2.6042543945116705,2.891187026419401,1.9615106850421256,0.3896598539183401,0.4047619047619048,0.7619047619047619,2891.1870264194004
"ensemble | bench_pm_1month, mstl_0.5",1.411404059451272,0.3992148327210712,1.817091057552317,2.4590142151342524,1.9991648905605934,0.3825353012881267,0.5952380952380952,0.9761904761904763,2459.0142151342525
"ensemble | bench_pm_1month, mstl_1",1.4606465843742344,0.4549280327898571,1.836357090876012,2.453518237835287,2.136132314452109,0.42229724591790857,0.6904761904761905,0.9880952380952381,2453.5182378352874
"ensemble | bench_pm_1month, quant_reg_2015_sk",1.940093386904762,0.330334021577381,2.809911086309524,3.424328869047621,2.698969494047619,0.43692346354166706,0.4285714285714285,0.9642857142857143,3424.3288690476215
"ensemble | bench_pm_1month, quant_reg_2015_sm",2.068535441149394,0.33981382587409975,2.7874844793099993,3.4793428330374487,2.7714409341843607,0.9645951333410602,0.3571428571428571,0.9642857142857143,3479.342833037449
"ensemble | bench_pm_1month, quant_reg_2018_sk",1.863408691550926,0.3271519696593915,2.6737868303571433,3.27534375,2.6110033482142856,0.4297575595238099,0.47619047619047616,0.9761904761904762,3275.34375
"ensemble | bench_pm_1month, quant_reg_2018_sm",1.998319562385911,0.3366230683635067,2.6657029725730035,3.330730266443726,2.7091388853624565,0.9494026191868622,0.40476190476190477,0.9880952380952381,3330.730266443726
"ensemble | bench_pm_1month, xgboost_dummy_2019",1.668136005719866,0.39553272414434526,2.3212203311011907,2.9193445172991077,2.3458750465029756,0.3587074095517116,0.5238095238095238,0.9523809523809523,2919.3445172991073
"ensemble | bench_pm_1month, xgboost_dummy_2020",1.6462110206008183,0.39573565150669643,2.2614486839657735,2.904733537946428,2.3063574335007444,0.36277979608444977,0.5595238095238095,0.9523809523809523,2904.733537946428
"ensemble | bench_pm_1month, xgboost_dummy_2021",1.6706663872767855,0.3825104957217263,2.232840983072917,2.974968494233631,2.392561232793899,0.37045073056175626,0.5238095238095238,0.9761904761904762,2974.9684942336307
"ensemble | bench_pm_2weeks, bench_pm_1month",2.0400547578125,0.5857873976934526,2.914514508928572,3.670500744047619,2.640521763392857,0.38894937500000043,0.369047619047619,0.9166666666666669,3670.5007440476193
"ensemble | bench_pm_2weeks, bench_same_month",2.2011516142113092,0.813882228422619,3.2494148065476196,3.8070156249999996,2.734790550595238,0.4006548604910715,0.3571428571428571,0.8452380952380951,3807.015624999999
"ensemble | bench_pm_2weeks, grad_boost_2015_dummy",2.03646457686498,0.5448474138943239,2.924854722142033,3.743106397075112,2.6078815369848334,0.36163281422859744,0.2261904761904762,0.880952380952381,3743.1063970751125
"ensemble | bench_pm_2weeks, grad_boost_2015_fturs",2.067542485682449,0.573016898738076,2.9507156773439394,3.8347130503721694,2.618137830846909,0.36112897111114817,0.20238095238095236,0.8571428571428573,3834.71305037217
