,avg_qscore,avg_qscore_0.025,avg_qscore_0.25,avg_qscore_0.5,avg_qscore_0.75,avg_qscore_0.975,coverage_50,coverage_95,mae_q0.5
bench_pm_1month,2.088768886904762,0.5919924479166667,3.0782834821428575,3.757699404761905,2.6277883184523816,0.3880807812500001,0.40476190476190477,0.9166666666666669,3757.699404761905
bench_pm_2weeks,2.1534552418154767,0.8276667224702379,3.122549107142857,3.7264122023809523,2.6912224702380954,0.39942570684523837,0.3095238095238095,0.8214285714285713,3726.412202380952
bench_same_month,2.290597927083333,0.8251763058035715,3.521189732142857,3.9263809523809523,2.7783586309523813,0.40188401413690505,0.39285714285714285,0.8690476190476192,3926.3809523809527
grad_boost_2015_dummy,2.2903435565310555,0.9388552021572093,3.5468060665385583,3.9652562373436564,2.6341960692896103,0.36660420732624216,0.25000000000000006,0.7261904761904762,3965.2562373436563
grad_boost_2015_fturs,2.3694780108794355,1.0490676500331928,3.618079943039252,4.142479486391993,2.672166453841395,0.3655965210913434,0.2380952380952381,0.7380952380952381,4142.479486391993
grad_boost_2018_dummy,2.106918422627945,0.8199889236238033,3.145298246972876,3.525836750264613,2.658475499786672,0.3849926924917598,0.369047619047619,0.7500000000000001,3525.836750264612
grad_boost_2018_fturs,2.140417084391639,0.9231289362115547,2.9605222752845752,3.7180596209616366,2.7468771851457214,0.3534974043547037,0.35714285714285715,0.7261904761904762,3718.0596209616365
lightgbm_dummy_2019,2.158338100291733,2.391800423453002,2.5993693996831033,2.7730165433187244,1.9324644661627235,1.095039668841112,0.3452380952380953,0.3452380952380953,2773.0165433187244
lightgbm_dummy_2020,2.060066584100264,2.241200375165335,2.5512851688944815,2.6578504743737086,1.819222766200092,1.0307741358677034,0.35714285714285715,0.35714285714285715,2657.8504743737076
lightgbm_dummy_2021,2.1298632307547,2.1855961861689193,2.5463641516749598,2.6838824799857153,1.9623994674557352,1.2710738684881713,0.2976190476190476,0.2976190476190476,2683.8824799857152
mstl_0.5,1.5056312539925119,0.3752504366100101,2.0703938509967665,2.622246608284292,2.0488325181810967,0.4114328558903938,0.511904761904762,0.9404761904761906,2622.2466082842916
mstl_1,1.6009324641598552,0.4826878736154282,2.1692462022644388,2.6446605577720237,2.220021387275852,0.48804629987153125,0.7261904761904762,0.9880952380952381,2644.6605577720243
quant_reg_2015_sk,2.4226349603174606,0.5189238095238096,3.7958482142857144,4.173009920634923,3.1080941220238096,0.5172987351190482,0.3452380952380953,0.8452380952380951,4173.009920634923
quant_reg_2015_sm,2.638081504764563,0.566809013452599,3.770564785179565,4.15467458861309,3.1257170618597243,1.5726420747178345,0.27380952380952384,0.857142857142857,4154.674588613089
quant_reg_2018_sk,2.2189894849537035,0.43350170304232727,3.315154761904762,3.9217738095238093,2.9215502232142856,0.5029669270833338,0.41666666666666663,0.9047619047619049,3921.773809523809
quant_reg_2018_sm,2.4439084174946317,0.4499911894212056,3.312467478184396,3.9259861982307327,2.9888401752273865,1.5422570464094387,0.3452380952380953,0.9047619047619048,3925.986198230733
xgboost_dummy_2019,1.7207069861421131,0.4362983723958334,2.3731240699404763,2.9592413969494045,2.4740044642857137,0.36086662713913725,0.5833333333333333,0.9285714285714286,2959.2413969494046
xgboost_dummy_2020,1.6561703157552086,0.40306853143601196,2.337586263020833,2.8230891927083333,2.34809619140625,0.36901140020461337,0.6071428571428571,0.9523809523809523,2823.0891927083335
xgboost_dummy_2021,1.6472405319940475,0.3770969959077381,2.3223068731398806,2.8310504557291662,2.3213950660342264,0.3843532691592265,0.6547619047619049,0.9523809523809523,2831.050455729167
