,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-11-01,14851.9599609375,14949.580078125,14786.3203125,14923.26953125,63588700,0.0,0.0
2023-11-02,15033.650390625,15202.4296875,15028.0302734375,15143.599609375,89446500,0.0,0.0
2023-11-03,15203.7998046875,15269.5,15149.7197265625,15189.25,93603800,0.0,0.0
2023-11-06,15219.3203125,15223.41015625,15110.83984375,15135.9697265625,59212500,0.0,0.0
2023-11-07,15084.7900390625,15194.5302734375,15068.25,15152.6396484375,62049600,0.0,0.0
2023-11-08,15093.48046875,15287.73046875,15086.41015625,15229.599609375,107586700,0.0,0.0
2023-11-09,15246.5,15364.490234375,15212.990234375,15352.5400390625,68377100,0.0,0.0
2023-11-10,15296.580078125,15309.51953125,15171.580078125,15234.3896484375,77014100,0.0,0.0
2023-11-13,15285.1201171875,15346.7900390625,15252.26953125,15345.0,65170400,0.0,0.0
2023-11-14,15358.58984375,15632.4404296875,15337.599609375,15614.4296875,98894400,0.0,0.0
2023-11-15,15631.669921875,15759.83984375,15628.1904296875,15748.169921875,91670700,0.0,0.0
2023-11-16,15806.91015625,15862.08984375,15783.509765625,15786.6103515625,68438900,0.0,0.0
2023-11-17,15828.7802734375,15952.4501953125,15826.669921875,15919.16015625,81125800,0.0,0.0
2023-11-20,15915.240234375,15929.9296875,15854.8203125,15901.330078125,93605500,0.0,0.0
2023-11-21,15911.01953125,15948.0703125,15891.3095703125,15900.5302734375,70926900,0.0,0.0
2023-11-22,15965.1298828125,15998.41015625,15931.740234375,15957.8203125,58757800,0.0,0.0
2023-11-23,15976.6201171875,16005.4501953125,15958.0595703125,15994.73046875,38717400,0.0,0.0
2023-11-24,15988.1904296875,16041.169921875,15972.669921875,16029.490234375,46227600,0.0,0.0
2023-11-27,16007.259765625,16039.419921875,15957.9599609375,15966.3701171875,50564800,0.0,0.0
2023-11-28,15939.1904296875,15993.419921875,15915.400390625,15992.669921875,60601100,0.0,0.0
2023-11-29,16013.16015625,16208.9697265625,16010.48046875,16166.4501953125,69366600,0.0,0.0
2023-11-30,16204.740234375,16262.9599609375,16169.1103515625,16215.4296875,108532100,0.0,0.0
2023-12-01,16296.919921875,16399.060546875,16279.4501953125,16397.51953125,68139400,0.0,0.0
2023-12-04,16390.169921875,16455.6796875,16386.80078125,16404.759765625,52149300,0.0,0.0
2023-12-05,16405.140625,16551.33984375,16394.01953125,16533.109375,63916000,0.0,0.0
2023-12-06,16565.650390625,16727.0703125,16536.119140625,16656.439453125,78581700,0.0,0.0
2023-12-07,16623.890625,16655.30078125,16595.109375,16628.990234375,76803200,0.0,0.0
2023-12-08,16644.619140625,16782.720703125,16630.1796875,16759.220703125,77814500,0.0,0.0
2023-12-11,16760.58984375,16817.810546875,16734.26953125,16794.4296875,66736100,0.0,0.0
2023-12-12,16823.009765625,16837.1796875,16753.810546875,16791.740234375,67862500,0.0,0.0
2023-12-13,16811.560546875,16836.44921875,16760.119140625,16766.05078125,65413500,0.0,0.0
2023-12-14,16948.7890625,17003.279296875,16670.349609375,16752.23046875,141290100,0.0,0.0
2023-12-15,16822.5,16890.109375,16713.69921875,16751.439453125,173711500,0.0,0.0
2023-12-18,16683.689453125,16744.26953125,16624.650390625,16650.55078125,56720400,0.0,0.0
