Datum;Anfang;Ende;Gesamt (Netzlast) [MWh] Originalauflösungen;Residuallast [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen
01.11.2023;00:00;00:15;10.870,25;7.231,25;259,75
01.11.2023;00:15;00:30;10.715;7.038,5;315,75
01.11.2023;00:30;00:45;10.618;6.970,75;356,75
01.11.2023;00:45;01:00;10.476,5;6.889,75;386,25
01.11.2023;01:00;01:15;10.288;6.744,5;223,25
01.11.2023;01:15;01:30;10.198,25;6.733,25;231,5
01.11.2023;01:30;01:45;10.138,25;6.709;266,5
01.11.2023;01:45;02:00;10.068,75;6.659,5;331
01.11.2023;02:00;02:15;9.956,75;6.547,5;392
01.11.2023;02:15;02:30;9.900,25;6.434,5;576,75
01.11.2023;02:30;02:45;9.826,25;6.317,75;660,25
01.11.2023;02:45;03:00;9.862,5;6.330,5;631,75
01.11.2023;03:00;03:15;9.835,5;6.278,5;582
01.11.2023;03:15;03:30;9.822,5;6.173;742,5
01.11.2023;03:30;03:45;9.759,25;6.061,5;812
01.11.2023;03:45;04:00;9.788,5;6.039;908,25
01.11.2023;04:00;04:15;9.808,25;5.978;1.065,25
01.11.2023;04:15;04:30;9.811,5;5.921;1.117,75
01.11.2023;04:30;04:45;9.929;5.993,5;1.078,5
01.11.2023;04:45;05:00;10.007,75;6.065,25;1.085,5
01.11.2023;05:00;05:15;10.156,25;6.172,5;800,5
01.11.2023;05:15;05:30;10.253;6.233,25;767,25
01.11.2023;05:30;05:45;10.394,75;6.379;615,5
01.11.2023;05:45;06:00;10.579,5;6.533;547,25
01.11.2023;06:00;06:15;10.904,25;6.833,75;489,25
01.11.2023;06:15;06:30;11.056,5;6.945,75;328,5
01.11.2023;06:30;06:45;11.330,25;7.166,75;189,25
01.11.2023;06:45;07:00;11.516,75;7.302,75;129,5
01.11.2023;07:00;07:15;11.726,75;7.520,25;60,25
01.11.2023;07:15;07:30;11.876;7.596;61,5
01.11.2023;07:30;07:45;12.012,5;7.506;52,75
01.11.2023;07:45;08:00;12.115;7.351,5;50,75
01.11.2023;08:00;08:15;12.290,25;7.200;14,25
01.11.2023;08:15;08:30;12.450,5;6.979,75;5
01.11.2023;08:30;08:45;12.669,75;6.853,5;14
01.11.2023;08:45;09:00;12.824,5;6.684,5;60,75
01.11.2023;09:00;09:15;12.894,25;6.460,25;40,25
01.11.2023;09:15;09:30;13.076,5;6.313,5;84
01.11.2023;09:30;09:45;13.265;6.158,75;220
01.11.2023;09:45;10:00;13.441;5.998,25;288,5
01.11.2023;10:00;10:15;13.640,75;5.939,5;187
01.11.2023;10:15;10:30;13.801,75;5.856,75;263,25
01.11.2023;10:30;10:45;13.809,75;5.621,75;309,25
01.11.2023;10:45;11:00;13.766;5.388,25;328,75
01.11.2023;11:00;11:15;13.758,5;5.232,25;276,75
01.11.2023;11:15;11:30;13.933,75;5.273;415,5
01.11.2023;11:30;11:45;14.069,75;5.304;390,25
01.11.2023;11:45;12:00;14.093;5.249;469
01.11.2023;12:00;12:15;14.044,25;5.157,5;326,5
01.11.2023;12:15;12:30;13.986;5.195;452,25
01.11.2023;12:30;12:45;13.998,25;5.340,5;276
01.11.2023;12:45;13:00;13.856,5;5.266;348,75
01.11.2023;13:00;13:15;13.723;5.274;557,25
01.11.2023;13:15;13:30;13.511;5.186,5;561,75
01.11.2023;13:30;13:45;13.403,25;5.201,75;460,5
01.11.2023;13:45;14:00;13.350,25;5.352,75;473,5
01.11.2023;14:00;14:15;13.325,75;5.593;737
01.11.2023;14:15;14:30;13.184,5;5.692;462,5
01.11.2023;14:30;14:45;13.151,75;5.919;211,75
01.11.2023;14:45;15:00;13.047;6.070,5;57,25
01.11.2023;15:00;15:15;13.047,5;6.283;143,25
01.11.2023;15:15;15:30;13.041,75;6.463,75;67
