"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"BrienneVonTarth","DAX","1 day",2023-12-13,-2.97098742366285,-0.549889735003448,0.0585710436587206,0.701765874449114,2.55315338250277,-0.0824643315098683,0.144426154607649,0.23371270174679,0.141035375168589,0.392115102979491,0.131780885700632,0.20861404404063,0.141035375168589,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2023-12-13,-2.16459430483139,-0.568121857996207,0.0995896615693554,0.768783504560677,2.10392943183304,-0.0824643315098683,0.104106498666076,0.242828763243169,0.182053993079224,0.425623918035273,0.109319688167146,0.212786572238177,0.182053993079224,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2023-12-13,-3.32126527152158,-0.543724181724903,0.0706840124460761,0.725670390369393,2.71977200360272,-0.0824643315098683,0.161940047000585,0.230629925107517,0.153148343955944,0.404067360939631,0.14011181675563,0.217979498751861,0.153148343955944,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2023-12-13,-2.29134455969082,-0.465463007798927,0.0873535450023332,0.674497189197298,2.14071647094555,-0.0824643315098683,0.110444011409048,0.19149933814453,0.169817876512202,0.378480760353583,0.111159040122771,0.192280205308427,0.169817876512202,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2023-12-13,-2.80670023577002,-0.524040957550586,0.0546196409377466,0.616424674555804,2.21293290494678,-0.0824643315098683,0.136211795213007,0.220788313020359,0.137083972447615,0.349444503032836,0.114769861822832,0.19165968910733,0.137083972447615,TRUE,TRUE,FALSE
"CharlesBoyle","DAX","1 day",2023-12-13,-1.5529810492415,-0.381923479314761,0.0741625478847041,0.527019368161463,1.46349317335258,-0.0824643315098683,0.0735258358865818,0.149729573902446,0.156626879394572,0.304741849835666,0.0772978752431224,0.152384402852478,0.156626879394572,TRUE,TRUE,FALSE
"median_ensemble","DAX","1 day",2023-12-13,-1.81792864594576,-0.474003874727505,0.0585710436587206,0.616424674555804,1.77231870281316,-0.0824643315098683,0.0867732157217946,0.195769771608818,0.141035375168589,0.349444503032836,0.0927391517161515,0.173152403449638,0.141035375168589,TRUE,TRUE,FALSE
"homersimpson","DAX","1 day",2023-12-13,-1.55443263053894,-0.284489989280701,0.0446052849292755,0.434333264827728,1.54065036773682,-0.0824643315098683,0.0735984149514536,0.101012828885416,0.127069616439144,0.258398798168798,0.0811557349623343,0.128247078681429,0.127069616439144,TRUE,TRUE,FALSE
"StannisBaratheon","DAX","1 day",2023-12-13,-1.68940852824708,-0.371628652276479,0.0369895830911936,0.494501565707159,1.62272866043466,-0.0824643315098683,0.0803472098368606,0.144582160383305,0.119453914601062,0.288482948608514,0.0852596495972265,0.143625176605394,0.119453914601062,TRUE,TRUE,FALSE
"MasterYoda","DAX","1 day",2023-12-13,-1.165,-0.85,-0.5,0.032,0.23,-0.0824643315098683,0.0541267834245066,0.383767834245066,0.417535668490132,0.0572321657549342,0.0156232165754934,0.185657133698026,0.417535668490132,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2023-12-13,-3.747,-1.913,0.981,3.153,5.351,-0.0824643315098683,0.183226783424507,0.915267834245066,1.06346433150987,1.61773216575493,0.271673216575494,0.810272866301974,1.06346433150987,TRUE,TRUE,FALSE
