"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"median_ensemble","DAX","1 day",2024-01-24,-1.72928844162811,-0.415823807590744,0.0686313077538969,0.562574286750275,1.67923910084518,0.100601130237798,0.0914944785932954,0.258212468914271,0.0319698224839016,0.230986578256238,0.0789318985303691,0.138319049355615,0.0319698224839016,TRUE,TRUE,FALSE
"BrienneVonTarth","DAX","1 day",2024-01-24,-2.34225694491491,-0.411907323289471,0.057044276437944,0.607686236675526,2.08904005953098,0.100601130237798,0.122142903757636,0.256254226763635,0.0435568537998545,0.253542553218864,0.0994219464646594,0.15498369680093,0.0435568537998545,TRUE,TRUE,FALSE
"DaenerysTargaryen","DAX","1 day",2024-01-24,-2.526,-0.402,1.543,3.641,5.938,0.100601130237798,0.13133005651189,0.251300565118899,1.4423988697622,1.7701994348811,0.29186994348811,0.77741977395244,1.4423988697622,TRUE,TRUE,FALSE
"Phoebe","DAX","1 day",2024-01-24,-1.608418,-0.521125,0.083733,0.613394,1.471672,0.100601130237798,0.0854509565118899,0.310863065118899,0.0168681302377985,0.256396434881101,0.0685535434881101,0.14762642604756,0.0168681302377985,TRUE,TRUE,FALSE
"JakePeralta","DAX","1 day",2024-01-24,-1.66478472233652,-0.461282348204818,0.0185050004634313,0.560724932511604,1.65792618141662,0.100601130237798,0.0882692926287161,0.280941739221308,0.0820961297743672,0.230061901136903,0.0778662525589413,0.151847063064047,0.0820961297743672,TRUE,TRUE,FALSE
"TormundGiantsbane","DAX","1 day",2024-01-24,-1.7937921609197,-0.419740291892017,0.0330810296740744,0.564423640988945,1.70055202027373,0.100601130237798,0.0947196645578749,0.260170711064908,0.0675201005637241,0.231911255375573,0.0799975445017966,0.146863855212775,0.0675201005637241,TRUE,TRUE,FALSE
"mean_ensemble","DAX","1 day",2024-01-24,-1.95092184537503,-0.407890848761787,0.178109237947144,0.824896753628816,2.1418060255314,0.100601130237798,0.102576148780641,0.254245989499793,0.0775081077093455,0.362147811695509,0.10206024476468,0.179707660489994,0.0775081077093455,TRUE,TRUE,FALSE
"DAX_benchmark","DAX","1 day",2024-01-24,-3.24318523582681,-0.524578926911223,0.0686313077538969,0.71827355543963,2.71977200360272,0.100601130237798,0.16718931830323,0.312590028574511,0.0319698224839016,0.308836212600916,0.130958543668246,0.190308785126161,0.0319698224839016,TRUE,TRUE,FALSE
"Rachel","DAX","1 day",2024-01-24,-1.05687942967893,-0.307804238951272,0.0852363407611846,0.478276920473641,1.2273521112013,0.100601130237798,0.0578740279958365,0.204202684594535,0.0153647894766139,0.188837895117921,0.0563375490481751,0.104523389246616,0.0153647894766139,TRUE,TRUE,FALSE
"JonSnow","DAX","1 day",2024-01-24,-3.24318523582681,-0.524578926911223,0.0686313077538969,0.71827355543963,2.71977200360272,0.100601130237798,0.16718931830323,0.312590028574511,0.0319698224839016,0.308836212600916,0.130958543668246,0.190308785126161,0.0319698224839016,TRUE,TRUE,FALSE
